event_index,user_id,session_id,step_index,timestamp,time_of_day,month,device,region,traffic,current_page,next_page,action,price,discounted_price,color,model_type
0,user_87,sess_0,0,2024-01-01T00:04:49Z,night,january,desktop,us_east,direct,home,exit,hover,699.9,594.91,silver,pro
1,user_0,sess_1,0,2024-01-01T00:07:18Z,night,january,tablet,eu_west,paid_ads,home,product_details,view,509.51,433.08,black,pro
2,user_0,sess_1,1,2024-01-01T00:11:52Z,night,january,tablet,eu_west,direct,product_details,search_results,view,485.66,412.81,silver,basic
3,user_0,sess_1,2,2024-01-01T00:12:16Z,night,january,mobile,us_east,organic,search_results,exit,hover,485.66,412.81,red,standard
4,user_72,sess_2,0,2024-01-01T00:13:11Z,night,january,mobile,ap_south,direct,home,search_results,scroll,1202.54,1022.16,red,standard
5,user_72,sess_2,1,2024-01-01T00:18:07Z,night,january,tablet,ap_south,paid_ads,search_results,exit,scroll,801.35,681.15,red,standard
6,user_25,sess_3,0,2024-01-01T00:21:01Z,night,january,mobile,us_east,organic,home,search_results,click,431.75,366.99,blue,pro
7,user_25,sess_3,1,2024-01-01T00:21:48Z,night,january,mobile,us_east,paid_ads,search_results,product_details,scroll,716.13,608.71,blue,standard
8,user_25,sess_3,2,2024-01-01T00:22:33Z,night,january,tablet,us_east,direct,product_details,exit,view,616.2,523.77,blue,pro
9,user_85,sess_4,0,2024-01-01T00:26:56Z,night,january,mobile,eu_west,direct,home,search_results,click,209.76,178.3,blue,basic
10,user_85,sess_4,1,2024-01-01T00:28:48Z,night,january,desktop,ap_south,organic,search_results,product_details,click,329.04,279.68,red,standard
11,user_85,sess_4,2,2024-01-01T00:29:53Z,night,january,mobile,us_east,organic,product_details,cart,add_to_cart,638.87,543.04,red,pro
12,user_85,sess_4,3,2024-01-01T00:31:45Z,night,january,mobile,us_east,direct,cart,checkout,click,1136.16,965.74,green,basic
13,user_85,sess_4,4,2024-01-01T00:36:41Z,night,january,mobile,us_east,organic,checkout,purchase,purchase,487.7,414.54,red,standard
14,user_85,sess_4,5,2024-01-01T00:38:21Z,night,january,mobile,eu_west,organic,purchase,exit,view,415.88,353.5,green,standard
15,user_49,sess_5,0,2024-01-01T00:40:51Z,night,january,mobile,us_east,direct,home,search_results,click,577.12,490.55,black,pro
16,user_49,sess_5,1,2024-01-01T00:42:57Z,night,january,mobile,us_east,paid_ads,search_results,exit,hover,404.34,343.69,black,standard
17,user_61,sess_6,0,2024-01-01T00:47:29Z,night,january,mobile,us_east,paid_ads,home,search_results,view,471.89,401.11,black,standard
18,user_61,sess_6,1,2024-01-01T00:48:18Z,night,january,tablet,ap_south,organic,search_results,product_details,scroll,542.31,460.96,silver,basic
19,user_61,sess_6,2,2024-01-01T00:49:14Z,night,january,mobile,ap_south,paid_ads,product_details,exit,hover,321.74,273.48,green,standard
20,user_40,sess_7,0,2024-01-01T00:51:31Z,night,january,desktop,us_east,organic,home,search_results,click,823.74,700.18,blue,basic
