event_index,user_id,session_id,step_index,timestamp,time_of_day,month,device,region,traffic,current_page,next_page,action,price,discounted_price,color,model_type,is_drifted,action_flag,rolling_cr,price_smooth,price_norm
0,user_87,sess_0,0,2024-01-01T00:04:49Z,night,january,desktop,us_east,direct,home,,hover,699.9,594.91,silver,pro,0,0,,,-0.6925383494830119
1,user_0,sess_1,0,2024-01-01T00:07:18Z,night,january,tablet,eu_west,paid_ads,home,product_details,view,509.51,433.08,black,pro,0,0,,,-0.7831559972867196
2,user_0,sess_1,1,2024-01-01T00:11:52Z,night,january,tablet,eu_west,direct,product_details,search_results,view,485.66,412.81,silver,basic,0,0,,,-0.7945075961108091
3,user_0,sess_1,2,2024-01-01T00:12:16Z,night,january,mobile,us_east,organic,search_results,,hover,485.66,412.81,red,standard,0,0,,,-0.7945075961108091
36,user_51,sess_10,0,2024-01-01T01:40:15Z,night,january,mobile,ap_south,direct,home,product_details,hover,358.88,305.05,blue,basic,0,0,,,-0.8548495541367247
37,user_51,sess_10,1,2024-01-01T01:40:49Z,night,january,desktop,ap_south,paid_ads,product_details,search_results,hover,467.77,397.6,red,standard,0,0,,,-0.8030224851239314
38,user_51,sess_10,2,2024-01-01T01:42:03Z,night,january,mobile,ap_south,paid_ads,search_results,product_details,click,429.66,365.21,blue,standard,0,0,,,-0.821161245341376
39,user_51,sess_10,3,2024-01-01T01:43:58Z,night,january,desktop,ap_south,direct,product_details,cart,add_to_cart,497.58,422.94,blue,basic,0,1,,,-0.7888341764888743
40,user_51,sess_10,4,2024-01-01T01:45:16Z,night,january,desktop,eu_west,paid_ads,cart,product_details,click,819.63,696.69,silver,basic,0,0,,,-0.635551895512016
41,user_51,sess_10,5,2024-01-01T01:48:02Z,night,january,tablet,ap_south,organic,product_details,search_results,click,1075.68,914.33,green,basic,0,0,,,-0.5136828439854687
42,user_51,sess_10,6,2024-01-01T01:50:51Z,night,january,desktop,ap_south,paid_ads,search_results,home,scroll,654.19,556.06,green,pro,0,0,,,-0.7142943906674621
43,user_51,sess_10,7,2024-01-01T01:53:50Z,night,january,tablet,us_east,paid_ads,home,search_results,click,395.45,336.13,green,standard,0,0,,,-0.8374437692731206
44,user_51,sess_10,8,2024-01-01T01:54:48Z,night,january,mobile,ap_south,direct,search_results,product_details,view,536.29,455.85,blue,pro,0,0,,,-0.7704098414582449
45,user_51,sess_10,9,2024-01-01T01:56:58Z,night,january,desktop,ap_south,organic,product_details,cart,add_to_cart,1193.81,1014.74,black,basic,0,1,,,-0.4574579228496318
46,user_51,sess_10,10,2024-01-01T02:01:06Z,night,january,desktop,eu_west,organic,cart,checkout,click,570.27,484.73,green,standard,0,0,,,-0.7542367878715545
47,user_51,sess_10,11,2024-01-01T02:02:36Z,night,january,mobile,eu_west,organic,checkout,purchase,purchase,470.16,399.64,silver,basic,0,0,,,-0.8018849454514125
48,user_51,sess_10,12,2024-01-01T02:04:21Z,night,january,mobile,eu_west,organic,purchase,,scroll,489.19,415.81,black,pro,0,0,,,-0.7928274642932395
468,user_6,sess_100,0,2024-01-01T20:52:31Z,evening,january,tablet,eu_west,direct,home,search_results,click,1006.44,855.47,green,basic,0,0,,,-0.5466381774269767
469,user_6,sess_100,1,2024-01-01T20:53:13Z,evening,january,desktop,ap_south,direct,search_results,product_details,hover,387.95,329.76,black,basic,0,0,,,-0.8410134544379286
470,user_6,sess_100,2,2024-01-01T20:54:41Z,evening,january,desktop,ap_south,organic,product_details,,click,864.8,735.08,blue,pro,0,0,,,-0.614052871659432
5041,user_62,sess_1000,0,2024-01-10T03:23:38Z,night,january,desktop,eu_west,paid_ads,home,,view,850.78,723.16,silver,basic,1,0,,,-0.6207258031275132
5042,user_65,sess_1001,0,2024-01-10T03:24:28Z,night,january,desktop,eu_west,paid_ads,home,search_results,hover,850.75,723.14,silver,pro,1,0,,,-0.6207400818681724
5043,user_65,sess_1001,1,2024-01-10T03:28:16Z,night,january,mobile,ap_south,organic,search_results,,hover,4280.17,3638.14,red,pro,1,0,,,1.0115198778513037
5044,user_53,sess_1002,0,2024-01-10T03:30:33Z,night,january,desktop,eu_west,organic,home,purchase,irrational_jump,2834.97,2409.72,silver,pro,1,0,,,0.32366534449388834
5045,user_53,sess_1002,1,2024-01-10T03:34:19Z,night,january,desktop,us_east,organic,purchase,,hover,3512.18,2985.35,blue,pro,1,0,,,0.6459888765551776
5046,user_16,sess_1003,0,2024-01-10T03:36:47Z,night,january,desktop,ap_south,direct,home,search_results,hover,2481.69,2109.44,black,pro,1,0,,,0.15551889449076942
5047,user_16,sess_1003,1,2024-01-10T03:37:36Z,night,january,tablet,eu_west,paid_ads,search_results,home,click,1306.42,1110.46,black,standard,1,0,,,-0.40386028999509366
5048,user_16,sess_1003,2,2024-01-10T03:40:30Z,night,january,tablet,eu_west,paid_ads,home,search_results,click,2269.34,1928.94,black,pro,1,0,,,0.054449208524503814
5049,user_16,sess_1003,3,2024-01-10T03:44:51Z,night,january,tablet,us_east,organic,search_results,product_details,click,4271.73,3630.97,black,pro,1,0,,,1.0075027921458393
5050,user_16,sess_1003,4,2024-01-10T03:48:43Z,night,january,desktop,ap_south,organic,product_details,search_results,view,3805.77,3234.9,black,standard,1,0,,,0.7857253922266442
5051,user_16,sess_1003,5,2024-01-10T03:52:17Z,night,january,tablet,ap_south,organic,search_results,product_details,hover,2909.26,2472.87,black,pro,1,0,,,0.3590242659463673
5052,user_16,sess_1003,6,2024-01-10T03:56:08Z,night,january,desktop,eu_west,direct,product_details,search_results,scroll,2706.32,2300.37,black,pro,1,0,,,0.26243334496688087
5053,user_16,sess_1003,7,2024-01-10T03:56:28Z,night,january,tablet,ap_south,direct,search_results,product_details,view,1882.05,1599.74,black,pro,1,0,,,-0.12988457380596494
5054,user_16,sess_1003,8,2024-01-10T03:58:47Z,night,january,desktop,ap_south,direct,product_details,purchase,irrational_jump,2881.52,2449.29,black,pro,1,0,,,0.34582119041679715
5055,user_16,sess_1003,9,2024-01-10T04:00:57Z,night,january,mobile,us_east,direct,purchase,,scroll,2842.28,2415.94,black,basic,1,0,,,0.3271445976345215
5056,user_24,sess_1004,0,2024-01-10T04:04:10Z,night,january,desktop,eu_west,direct,home,product_details,click,4610.62,3919.03,black,pro,1,0,,,1.1688002062127467
5057,user_24,sess_1004,1,2024-01-10T04:06:53Z,night,january,mobile,eu_west,organic,product_details,search_results,view,1525.47,1296.65,black,pro,1,0,,,-0.2996016852815995
5058,user_24,sess_1004,2,2024-01-10T04:07:26Z,night,january,mobile,us_east,direct,search_results,home,view,4313.19,3666.21,black,pro,1,0,,,1.0272360117368984
5059,user_24,sess_1004,3,2024-01-10T04:12:09Z,night,january,mobile,ap_south,direct,home,search_results,click,6967.85,5922.67,black,pro,1,0,,,2.290742734351482
5060,user_24,sess_1004,4,2024-01-10T04:13:29Z,night,january,mobile,us_east,paid_ads,search_results,product_details,click,2375.76,2019.4,black,pro,1,0,,,0.1051006612230204
5061,user_24,sess_1004,5,2024-01-10T04:18:07Z,night,january,tablet,eu_west,paid_ads,product_details,,view,6418.3,5455.56,black,pro,1,0,,,2.0291800033754455
5062,user_90,sess_1005,0,2024-01-10T04:21:10Z,night,january,tablet,eu_west,organic,home,search_results,view,636.58,541.09,green,pro,0,0,,,-0.7226760114344315
5063,user_90,sess_1005,1,2024-01-10T04:21:57Z,night,january,desktop,eu_west,paid_ads,search_results,home,view,532.17,452.34,silver,basic,0,0,,,-0.7723707885087794
5064,user_90,sess_1005,2,2024-01-10T04:22:27Z,night,january,desktop,us_east,direct,home,product_details,click,468.23,398.0,black,basic,0,0,,,-0.8028035444338232
5065,user_90,sess_1005,3,2024-01-10T04:25:17Z,night,january,mobile,eu_west,direct,product_details,cart,add_to_cart,1082.61,920.22,green,standard,0,1,,,-0.5103844548931861
5066,user_90,sess_1005,4,2024-01-10T04:29:55Z,night,january,tablet,us_east,paid_ads,cart,checkout,click,487.8,414.63,blue,basic,0,0,,,-0.793489045943784
